"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,034857984E1;5,594915584E1;-3,370514700E0;4,943493454E1;1,038679810E2;6,650000095E0;1,941000061E2;7,498809755E-2;5,478951645E1;3,436018753E1;2,100000000E1
1,135060015E1;5,594892714E1;-3,369381660E0;1,289158164E2;1,833465576E2;5,449999809E0;2,553999939E2;8,681085078E-2;1,046772079E2;1,498748169E2;4,000000000E0
1,186208151E1;5,594900620E1;-3,369508630E0;9,997563895E1;1,544066162E2;0,000000000E0;NaN;1,303634679E-1;4,732999039E1;8,000547791E1;7,000000000E0
1,286185807E1;5,594891316E1;-3,370188120E0;3,575234802E0;5,800769043E1;0,000000000E0;NaN;1,411163226E-1;3,958264160E1;4,543102264E1;8,000000000E0
1,386392307E1;5,594898657E1;-3,370075700E0;2,221710513E1;7,664929199E1;0,000000000E0;NaN;1,445842432E-1;8,093309402E0;1,663796425E1;1,000000000E1
1,486257557E1;5,594896400E1;-3,370114140E0;2,040970228E1;7,484197998E1;0,000000000E0;NaN;1,588673791E-1;6,129561424E0;1,432043266E1;1,300000000E1
1,586330255E1;5,594886647E1;-3,370263430E0;3,277000208E1;8,720263672E1;8,569999695E0;2,368999939E2;1,729270460E-1;5,182127953E0;1,140941620E1;1,400000000E1
1,686330255E1;5,594877817E1;-3,370425060E0;1,822921760E1;7,266223145E1;8,720000267E0;2,390000000E2;1,807905371E-1;4,498316765E0;9,817432404E0;1,600000000E1
1,786330255E1;5,594872650E1;-3,370511290E0;1,535090060E1;6,978411865E1;8,550000191E0;2,360000000E2;1,914717123E-1;4,992882729E0;1,056750870E1;1,700000000E1
1,886330255E1;5,594866175E1;-3,370638010E0;1,463155001E1;6,906506348E1;8,750000000E0;2,346000061E2;1,993926820E-1;4,717675209E0;9,224492073E0;1,800000000E1
1,986330255E1;5,594863507E1;-3,370755970E0;2,378912592E1;7,822290039E1;8,689999580E0;2,365000000E2;2,079218602E-1;4,893583775E0;8,198899269E0;1,900000000E1
2,086330255E1;5,594860057E1;-3,370878320E0;2,550925032E1;7,994329834E1;8,699999809E0;2,581000061E2;2,164247719E-1;4,065029144E0;7,090774059E0;1,800000000E1
2,186330255E1;5,594857155E1;-3,371004670E0;3,106213220E1;8,549645996E1;8,609999657E0;2,403999939E2;2,257034954E-1;3,790092468E0;5,877419949E0;1,800000000E1
2,286330255E1;5,594851754E1;-3,371118270E0;2,744108050E1;8,187567139E1;8,689999580E0;2,395000000E2;2,354308429E-1;3,790092468E0;4,678004742E0;2,000000000E1
2,386330255E1;5,594848652E1;-3,371264350E0;2,804171029E1;8,247662354E1;8,699999809E0;2,413999939E2;2,443445955E-1;3,790092468E0;4,129165649E0;2,300000000E1
2,486330255E1;5,594843663E1;-3,371376410E0;2,866297314E1;8,309814453E1;8,880000114E0;2,396000061E2;2,525236617E-1;3,790092468E0;3,677419662E0;2,600000000E1
2,586330255E1;5,594840519E1;-3,371495170E0;3,023253271E1;8,466796875E1;8,939999580E0;2,396999969E2;2,607787583E-1;3,790092468E0;3,546828985E0;2,700000000E1
2,686330255E1;5,594836985E1;-3,371611770E0;3,061038382E1;8,504608154E1;8,949999809E0;2,376999969E2;2,696370546E-1;3,790092468E0;3,425101042E0;2,700000000E1
2,786330255E1;5,594833199E1;-3,371736950E0;3,209252478E1;8,652850342E1;9,020000458E0;2,365000000E2;2,788566698E-1;3,790092468E0;3,346904516E0;2,700000000E1
2,886330255E1;5,594828550E1;-3,371859560E0;3,310280482E1;8,753906250E1;9,039999962E0;2,258000031E2;2,879787551E-1;3,790092468E0;3,025162458E0;2,700000000E1
2,986330255E1;5,594824259E1;-3,371984430E0;3,263877736E1;8,707531738E1;8,770000458E0;2,121000061E2;2,972293018E-1;3,790092468E0;2,948226452E0;2,600000000E1
3,086330255E1;5,594820022E1;-3,372112290E0;3,298657241E1;8,742340088E1;8,789999962E0;2,148000031E2;3,066660939E-1;3,790092468E0;3,094086409E0;2,600000000E1
3,186330255E1;5,594815746E1;-3,372243210E0;3,391590380E1;8,835302734E1;9,130000114E0;2,358000031E2;3,155894740E-1;3,790092468E0;2,915894508E0;2,600000000E1
3,286330255E1;5,594812198E1;-3,372371760E0;3,416048981E1;8,859790039E1;9,159999847E0;2,350000000E2;3,248855103E-1;3,790092468E0;2,786252260E0;2,700000000E1
3,386330255E1;5,594807685E1;-3,372497440E0;3,416191384E1;8,859960938E1;9,210000038E0;2,361000061E2;3,345172370E-1;3,790092468E0;2,735110760E0;2,800000000E1
3,486330255E1;5,594803398E1;-3,372631860E0;3,405974365E1;8,849774170E1;9,260000229E0;2,411999969E2;3,430832149E-1;3,790092468E0;2,625810146E0;2,800000000E1
3,586330255E1;5,594799455E1;-3,372750050E0;3,593697938E1;9,037524414E1;9,319999695E0;2,388000031E2;3,523057637E-1;3,790092468E0;2,710566759E0;2,700000000E1
3,686330255E1;5,594795224E1;-3,372877450E0;3,563896248E1;9,007751465E1;9,359999657E0;2,386000061E2;3,617382046E-1;3,790092468E0;2,781517982E0;2,700000000E1
3,786330255E1;5,594790760E1;-3,373006270E0;3,554028243E1;8,997912598E1;9,380000114E0;2,343999939E2;3,707465879E-1;3,790092468E0;2,747681379E0;2,700000000E1
3,886330255E1;5,594786796E1;-3,373132450E0;3,558705684E1;9,002618408E1;9,409999847E0;2,323000031E2;3,798986453E-1;3,790092468E0;2,686139822E0;2,600000000E1
3,986330255E1;5,594782221E1;-3,373254640E0;3,507078784E1;8,951019287E1;9,409999847E0;2,316999969E2;3,896207872E-1;3,790092468E0;2,648503542E0;2,500000000E1
4,086330255E1;5,594777712E1;-3,373388420E0;3,478624507E1;8,922595215E1;9,449999809E0;2,323999939E2;3,990187371E-1;3,790092468E0;2,573865175E0;2,600000000E1
4,186330255E1;5,594773192E1;-3,373515960E0;3,434686929E1;8,878686523E1;9,479999542E0;2,323000031E2;4,091798715E-1;3,790092468E0;2,550291061E0;2,700000000E1
4,286330255E1;5,594768589E1;-3,373656940E0;3,371099253E1;8,815130615E1;9,500000000E0;2,318000031E2;4,185208794E-1;3,790092468E0;2,613315582E0;2,700000000E1
4,386330255E1;5,594764143E1;-3,373784230E0;3,416736955E1;8,860797119E1;9,539999962E0;2,313000031E2;4,278854525E-1;3,790092468E0;2,540532589E0;2,700000000E1
4,486330255E1;5,594759843E1;-3,373913550E0;3,454982931E1;8,899072266E1;9,550000191E0;2,313999939E2;4,375898948E-1;3,790092468E0;2,556080103E0;2,500000000E1
4,586330255E1;5,594755290E1;-3,374046520E0;3,445406984E1;8,889526367E1;9,579999924E0;2,316999969E2;4,472930054E-1;3,790092468E0;2,514758825E0;2,600000000E1
4,686330255E1;5,594750574E1;-3,374177640E0;3,496488101E1;8,940637207E1;9,609999657E0;2,316999969E2;4,566725367E-1;3,790092468E0;2,500000000E0;2,500000000E1
4,786330255E1;5,594746471E1;-3,374309260E0;3,484495636E1;8,928674316E1;9,609999657E0;2,320000000E2;4,663016010E-1;3,790092468E0;2,500000000E0;2,500000000E1
4,886330255E1;5,594741961E1;-3,374441280E0;3,449175282E1;8,893383789E1;9,649999619E0;2,318000031E2;4,762863871E-1;3,790092468E0;2,500000000E0;2,500000000E1
4,986330255E1;5,594737066E1;-3,374575720E0;3,392076912E1;8,836315918E1;9,600000381E0;2,313000031E2;4,859978487E-1;3,790092468E0;2,500000000E0;2,500000000E1
5,086330255E1;5,594732620E1;-3,374709970E0;3,433776377E1;8,878045654E1;9,680000305E0;2,305000000E2;4,958217910E-1;3,790092468E0;2,500000000E0;2,600000000E1
5,186330255E1;5,594728106E1;-3,374845600E0;3,405529234E1;8,849829102E1;9,680000305E0;2,301000061E2;5,052931157E-1;3,790092468E0;2,500000000E0;2,600000000E1
5,286330255E1;5,594723834E1;-3,374977200E0;3,411816736E1;8,856146240E1;9,699999809E0;2,301999969E2;5,153084565E-1;3,790092468E0;2,500000000E0;2,600000000E1
5,386330255E1;5,594719214E1;-3,375115280E0;3,364147644E1;8,808508301E1;9,680000305E0;2,301000061E2;5,253994351E-1;3,790092468E0;2,500000000E0;2,500000000E1
5,486330255E1;5,594714261E1;-3,375251080E0;3,358770158E1;8,803161621E1;9,680000305E0;2,311999969E2;5,345959768E-1;3,790092468E0;2,500000000E0;2,600000000E1
5,586330255E1;5,594710245E1;-3,375380200E0;3,398444523E1;8,842864990E1;9,649999619E0;2,301000061E2;5,444035976E-1;3,790092468E0;2,500000000E0;2,600000000E1
5,686330255E1;5,594705859E1;-3,375516860E0;3,432099073E1;8,876550293E1;9,630000114E0;2,308999939E2;5,543139785E-1;3,790092468E0;2,500000000E0;2,400000000E1
5,786330255E1;5,594701323E1;-3,375653870E0;3,434637765E1;8,879119873E1;9,670000076E0;2,313000031E2;5,639438158E-1;3,790092468E0;2,500000000E0;2,400000000E1
5,886330255E1;5,594696872E1;-3,375786540E0;3,402747480E1;8,847259521E1;9,750000000E0;2,308999939E2;5,740782515E-1;3,790092468E0;2,500000000E0;2,300000000E1
5,986330255E1;5,594692247E1;-3,375926790E0;3,346539113E1;8,791082764E1;9,689999580E0;2,288999939E2;5,842108913E-1;3,790092468E0;2,500000000E0;2,400000000E1
6,086330255E1;5,594687593E1;-3,376066700E0;3,274809566E1;8,719384766E1;9,720000267E0;2,295000000E2;5,940833454E-1;3,790092468E0;2,500000000E0;2,600000000E1
6,186330255E1;5,594683025E1;-3,376202660E0;3,243913411E1;8,688519287E1;9,739999771E0;2,293000031E2;6,039385457E-1;3,790092468E0;2,588116884E0;2,700000000E1
6,286330255E1;5,594678380E1;-3,376337460E0;3,190446670E1;8,635083008E1;9,829999924E0;2,300000000E2;6,130119879E-1;3,790092468E0;2,700353861E0;2,800000000E1
6,386330255E1;5,594673784E1;-3,376457870E0;3,193867763E1;8,638531494E1;9,710000038E0;2,298999939E2;6,230840000E-1;3,790092468E0;2,701197386E0;2,700000000E1
6,486330255E1;5,594669231E1;-3,376597710E0;3,203009857E1;8,647705078E1;9,890000343E0;2,298999939E2;6,327172452E-1;3,790092468E0;2,712793827E0;2,800000000E1
6,586330255E1;5,594664327E1;-3,376725250E0;3,189333367E1;8,634057617E1;9,850000381E0;2,303000031E2;6,428616445E-1;3,790092468E0;2,762528896E0;2,700000000E1
6,686330255E1;5,594659414E1;-3,376862530E0;3,169441433E1;8,614196777E1;9,939999580E0;2,306999969E2;6,529557903E-1;3,790092468E0;2,744012594E0;2,600000000E1
6,786330255E1;5,594654615E1;-3,377000140E0;3,143470375E1;8,588256836E1;9,880000114E0;2,313999939E2;6,631765783E-1;3,790092468E0;2,690496683E0;2,400000000E1
6,886330255E1;5,594650086E1;-3,377142980E0;3,127855988E1;8,572674561E1;9,970000267E0;2,341000061E2;6,729358828E-1;3,790092468E0;2,828271627E0;2,400000000E1
6,986330255E1;5,594645993E1;-3,377281630E0;3,193797844E1;8,638647461E1;9,970000267E0;2,345000000E2;6,821762313E-1;3,790092468E0;2,990815401E0;2,600000000E1
7,086330255E1;5,594641877E1;-3,377410550E0;3,228546684E1;8,673425293E1;1,002000046E1;2,376999969E2;6,918992708E-1;3,790092468E0;3,197930336E0;2,400000000E1
7,186330255E1;5,594637445E1;-3,377545160E0;3,275318114E1;8,720227051E1;1,006999969E1;2,396000061E2;7,017110627E-1;3,790092468E0;3,256844759E0;2,400000000E1
7,286330255E1;5,594633041E1;-3,377681710E0;3,314240025E1;8,759179688E1;1,009000015E1;2,371999969E2;7,116478404E-1;9,935046196E0;3,264358997E0;2,300000000E1
7,386330255E1;5,594628580E1;-3,377819990E0;3,323461840E1;8,768432617E1;1,011999989E1;2,400000000E2;7,216189658E-1;9,935046196E0;3,214742184E0;2,300000000E1
7,486330255E1;5,594623991E1;-3,377957570E0;3,352813146E1;8,797814941E1;1,013000011E1;2,383000031E2;7,317220458E-1;9,935046196E0;3,042419672E0;2,300000000E1
7,586330255E1;5,594619315E1;-3,378096690E0;3,402702421E1;8,847735596E1;1,021000004E1;2,395000000E2;7,420572933E-1;9,935046196E0;2,945491314E0;2,300000000E1
7,686330255E1;5,594614366E1;-3,378237190E0;3,399710432E1;8,844775391E1;1,021000004E1;2,385000000E2;7,522036874E-1;9,935046196E0;2,855536938E0;2,000000000E1
